,date
0,1990-01-02
1,1990-01-03
2,1990-01-04
3,1990-01-05
4,1990-01-08
5,1990-01-09
6,1990-01-10
7,1990-01-11
8,1990-01-12
9,1990-01-15
10,1990-01-16
11,1990-01-17
12,1990-01-18
13,1990-01-19
14,1990-01-22
15,1990-01-23
16,1990-01-24
17,1990-01-25
18,1990-01-26
19,1990-01-29
20,1990-01-30
21,1990-01-31
22,1990-02-01
23,1990-02-02
24,1990-02-05
25,1990-02-06
26,1990-02-07
27,1990-02-08
28,1990-02-09
29,1990-02-12
30,1990-02-13
31,1990-02-14
32,1990-02-15
33,1990-02-16
34,1990-02-20
35,1990-02-21
36,1990-02-22
37,1990-02-23
38,1990-02-26
39,1990-02-27
40,1990-02-28
41,1990-03-01
42,1990-03-02
43,1990-03-05
44,1990-03-06
45,1990-03-07
46,1990-03-08
47,1990-03-09
48,1990-03-12
49,1990-03-13
50,1990-03-14
51,1990-03-15
52,1990-03-16
53,1990-03-19
54,1990-03-20
55,1990-03-21
56,1990-03-22
57,1990-03-23
58,1990-03-26
59,1990-03-27
60,1990-03-28
61,1990-03-29
62,1990-03-30
63,1990-04-02
64,1990-04-03
65,1990-04-04
66,1990-04-05
67,1990-04-06
68,1990-04-09
69,1990-04-10
70,1990-04-11
71,1990-04-12
72,1990-04-16
73,1990-04-17
74,1990-04-18
75,1990-04-19
76,1990-04-20
77,1990-04-23
78,1990-04-24
79,1990-04-25
80,1990-04-26
81,1990-04-27
82,1990-04-30
83,1990-05-01
84,1990-05-02
85,1990-05-03
86,1990-05-04
87,1990-05-07
88,1990-05-08
89,1990-05-09
90,1990-05-10
91,1990-05-11
92,1990-05-14
93,1990-05-15
94,1990-05-16
95,1990-05-17
96,1990-05-18
97,1990-05-21
98,1990-05-22
99,1990-05-23
100,1990-05-24
101,1990-05-25
102,1990-05-29
103,1990-05-30
104,1990-05-31
105,1990-06-01
106,1990-06-04
107,1990-06-05
108,1990-06-06
109,1990-06-07
110,1990-06-08
111,1990-06-11
112,1990-06-12
113,1990-06-13
114,1990-06-14
115,1990-06-15
116,1990-06-18
117,1990-06-19
118,1990-06-20
119,1990-06-21
120,1990-06-22
121,1990-06-25
122,1990-06-26
123,1990-06-27
124,1990-06-28
125,1990-06-29
126,1990-07-02
127,1990-07-03
128,1990-07-05
